rank,business,category,rating,reviews,phone,phone_type,whatsapp_link,area,google_photos,google_maps,notes
1,Food by Punjabi Restaurant,Restaurant,4.8,1073,+971564037062,mobile,https://wa.me/971564037062,Al Souq Al Kabeer - Al Fahidi,538,https://www.google.com/maps/search/?api=1&query_place_id=ChIJf3tMsj9DXz4RUqtOxYJ98-M,TOP LEAD. Owner named Harpreet Singh in reviews. Demo site built. Tourist-heavy reviews in 5 languages.
2,Tau's Restaurant,Afghan restaurant,4.6,1006,+971523998069,mobile,https://wa.me/971523998069,Oud Metha,543,https://www.google.com/maps/search/?api=1&query_place_id=ChIJ798fCXZDXz4RTY30yZBCjGM,Huge review volume + WhatsApp reachable. Strongest backup lead.
3,Gorkha Spices Restaurant,Restaurant,4.9,363,+971524426629,mobile,https://wa.me/971524426629,Al Souq Al Kabeer,121,https://www.google.com/maps/search/?api=1&query_place_id=ChIJ7w8Q2NJDXz4R7tZMLBYQZ5o,Highest rating in the whole list. Near the Abra - heavy tourist footfall.
4,Al Nawaz Restaurant,Restaurant,4.9,246,+971565387723,mobile,https://wa.me/971565387723,Al Souq Al Kabeer - Al Fahidi,116,https://www.google.com/maps/search/?api=1&query_place_id=ChIJfQj_sAtDXz4R5v5f8YAXado,4.9 stars inside Al Fahidi Souq. Tourist traffic.
5,PINKY RESTAURANT,Restaurant,4.4,443,+971585801199,mobile,https://wa.me/971585801199,Al Souq Al Kabeer - Al Fahidi,187,https://www.google.com/maps/search/?api=1&query_place_id=ChIJZVOzsD9DXz4Rd5J94kkgXsE,Opposite Meena Bazaar plaza. Busy location.
6,Rajwadi Vegetarian Restaurant,Vegetarian restaurant,4.2,443,+971557306900,mobile,https://wa.me/971557306900,Bur Dubai - Al Fahidi,300,https://www.google.com/maps/search/?api=1&query_place_id=ChIJg1IsjiRDXz4RgI-hPrxlCIo,300 photos already uploaded - has visual assets ready.
7,The Bhoj Restaurant,Asian restaurant,4.6,315,+971509867110,mobile,https://wa.me/971509867110,Al Souq Al Kabeer,242,https://www.google.com/maps/search/?api=1&query_place_id=ChIJ6UXdzdhDXz4R09OdCg0Xmsc,On Al Fahidi St. Strong rating and volume.
8,Taj Mahal Palace Restaurant,Restaurant,4.3,273,+971553995996,mobile,https://wa.me/971553995996,Al Souq Al Kabeer - Al Fahidi,290,https://www.google.com/maps/search/?api=1&query_place_id=ChIJSfFCxpFdXz4RVz6adSeX9Sg,Next to Dubai Museum - pure tourist catchment.
9,Searock Restaurant,Restaurant,4.1,318,+971555786916,mobile,https://wa.me/971555786916,Al Raffa,78,https://www.google.com/maps/search/?api=1&query_place_id=ChIJobWM3BBDXz4RhLC_j-3Oa2M,Listing unclaimed - ask who manages the Google page.
10,Tasty Dine Restaurant (Taste of Pakistan),Pakistani restaurant,4.3,220,+971524877613,mobile,https://wa.me/971524877613,Al Souq Al Kabeer,170,https://www.google.com/maps/search/?api=1&query_place_id=ChIJd-FtwKhDXz4Rn1nkhryhRJ0,Old Souk location.
